BTBEntries,localPred_size,lookups,BTBLookups,Branches_not_in_BTB,BTBHits,BTBHitPct,BTBMissPct,CPI,Branches,predictedBranches,BranchMispred,BranchMispredPercent,unpredictable,predictable_pct,unpredictable_pct
128,8192,97499524,56543220,40956304,46900699,82.946636,17.053364,4.469632936,97499524,52314804,15679627,16.081747,45184720,53.65647118,46.34352882
128,32768,97499524,54509121,42990403,46899991,86.04063,13.95937,4.469093986,97499524,52319521,15676124,16.078154,45180003,53.66130916,46.33869084
256,16,97499524,75705916,21793608,51199447,67.629387,32.370613,4.647381886,97499524,56585689,16834989,17.26674,40913835,58.03688744,41.96311256
256,32,97499524,75761050,21738474,51268904,67.67185,32.32815,4.497553486,97499524,56497191,15861109,16.267884,41002333,57.94611982,42.05388018
256,64,97499524,76473016,21026508,52556493,68.72554,31.27446,4.043809786,97499524,57791733,12911790,13.242926,39707791,59.27386169,40.72613831
256,128,97499524,75526585,21972939,51340420,67.97662,32.02338,3.881888986,97499524,56751066,11859310,12.163454,40748458,58.20650571,41.79349429
256,256,97499524,74930162,22569362,51388295,68.581588,31.418412,3.839366686,97499524,56803505,11582916,11.879972,40696019,58.26028956,41.73971044
256,512,97499524,70974456,26525068,50688629,71.41813,28.58187,3.916201336,97499524,56103809,12082339,12.392203,41395715,57.54264913,42.45735087
256,1024,97499524,65610064,31889460,50666191,77.2232,22.7768,3.937301836,97499524,55989919,12219492,12.532873,41509605,57.4258383,42.5741617
256,2048,97499524,58615039,38884485,50639561,86.393461,13.606539,3.938413036,97499524,55963266,12226714,12.540281,41536258,57.39850176,42.60149824
256,8192,97499524,55947765,41551759,51343648,91.770686,8.229314,3.790861036,97499524,56757753,11267631,11.556601,40741771,58.2133642,41.7866358
256,32768,97499524,53912247,43587277,51343573,95.235454,4.764546,3.788888986,97499524,56763103,11254813,11.543454,40736421,58.21885141,41.78114859
512,16,97499524,75006328,22493196,52148601,69.525602,30.474398,4.573025986,97499524,57528959,16351678,16.771034,39970565,59.00434858,40.99565142
512,32,97499524,75164428,22335096,52238146,69.498495,30.501505,4.425367936,97499524,57466152,15391906,15.786647,40033372,58.93993082,41.06006918
512,64,97499524,75819010,21680514,53517279,70.585568,29.414432,3.972589936,97499524,58752242,12448863,12.768127,38747282,60.25900393,39.74099607
512,128,97499524,74922714,22576810,52056086,69.479712,30.520288,3.786263236,97499524,57466247,11237745,11.525949,40033277,58.94002826,41.05997174
512,256,97499524,73426035,24073489,52088256,70.939764,29.060236,3.753443686,97499524,57412547,11024419,11.307152,40086977,58.88495107,41.11504893
512,512,97499524,69470778,28028746,51480313,74.10355,25.89645,3.816024286,97499524,56804573,11431191,11.724356,40694951,58.26138495,41.73861505
512,1024,97499524,63948606,33550918,51390673,80.36246,19.63754,3.828219436,97499524,56711003,11510459,11.805657,40788521,58.16541525,41.83458475
