BTBEntries,localPred_size,lookups,BTBLookups,Branches_not_in_BTB,BTBHits,BTBHitPct,BTBMissPct,CPI,Branches,predictedBranches,BranchMispred,BranchMispredPercent,unpredictable,predictable_pct,unpredictable_pct
128,8192,69585502,54916818,14668684,40390604,73.548697,26.451303,6.180979742,69585502,43195879,17505873,25.157357,26389623,62.07597525,37.92402475
128,32768,69585502,53645845,15939657,40339198,75.195382,24.804618,6.178851242,69585502,43144458,17495999,25.143167,26441044,62.00207911,37.99792089
256,16,69585502,62932195,6653307,46032433,73.146079,26.853921,6.229212842,69585502,48774023,17729628,25.478911,20811479,70.09221978,29.90778022
256,32,69585502,61556912,8028590,44829372,72.825895,27.174105,6.085022192,69585502,47536511,17060723,24.51764,22048991,68.31381485,31.68618515
256,64,69585502,61106273,8479229,44463475,72.764174,27.235826,5.984246042,69585502,47175866,16593219,23.845799,22409636,67.79553879,32.20446121
256,128,69585502,60560393,9025109,44172288,72.939236,27.060764,5.903770442,69585502,46913469,16219890,23.309295,22672033,67.41845306,32.58154694
256,256,69585502,60071224,9514278,43933545,73.135758,26.864242,5.818219592,69585502,46709007,15823017,22.738956,22876495,67.12462461,32.87537539
256,512,69585502,59524914,10060588,43573961,73.202896,26.797104,5.694224192,69585502,46356178,15247798,21.91232,23229324,66.61758077,33.38241923
256,1024,69585502,57913967,11671535,43342558,74.83956,25.16044,5.644406792,69585502,46134805,15016693,21.580204,23450697,66.29944985,33.70055015
256,2048,69585502,56250346,13335156,43142841,76.697912,23.302088,5.626387892,69585502,45942614,14933103,21.460078,23642888,66.02325582,33.97674418
256,8192,69585502,53936380,15649122,43051949,79.819871,20.180129,5.610185342,69585502,45857208,14857939,21.352061,23728294,65.90052048,34.09947952
256,32768,69585502,52661170,16924332,43004062,81.661805,18.338195,5.607123692,69585502,45809310,14843736,21.33165,23776192,65.83168718,34.16831282
512,16,69585502,61216845,8368657,49431399,80.748034,19.251966,6.052309742,69585502,52137194,16908969,24.299557,17448308,74.92536879,25.07463121
512,32,69585502,59565701,10019801,47868861,80.363129,19.636871,5.878034642,69585502,50552430,16100501,23.137723,19033072,72.64793462,27.35206538
512,64,69585502,58924908,10660594,47304814,80.279827,19.720173,5.701780592,69585502,49997248,15282852,21.962696,19588254,71.85009314,28.14990686
512,128,69585502,58585707,10999795,46998583,80.221927,19.778073,5.581602542,69585502,49724234,14725342,21.161509,19861268,71.45774992,28.54225008
512,256,69585502,58082654,11502848,46749241,80.48744,19.51256,5.463047342,69585502,49499684,14175361,20.371141,20085818,71.13505339,28.86494661
512,512,69585502,57456698,12128804,46239420,80.476988,19.523012,5.280010592,69585502,48995149,13326247,19.150896,20590353,70.40999575,29.59000425
512,1024,69585502,56563327,13022175,45806510,80.982701,19.017299,5.135614592,69585502,48598211,12656389,18.188256,20987291,69.83956371,30.16043629
512,2048,69585502,54875818,14709684,45585618,83.070503,16.929497,5.116288592,69585502,48385068,12566735,18.059416,21200434,69.53325996,30.46674004
512,8192,69585502,52721548,16863954,45464420,86.234987,13.765013,5.093034392,69585502,48269679,12458858,17.904388,21315823,69.36743662,30.63256338
512,32768,69585502,51452585,18132917,45420233,88.275901,11.724099,5.087899592,69585502,48225481,12435038,17.870156,21360021,69.30392052,30.69607948
1024,16,69585502,60117613,9467889,52162031,86.766637,13.233363,5.854130642,69585502,54823952,15989609,22.978363,14761550,78.78645756,21.21354244
1024,32,69585502,58373077,11212425,50372335,86.293781,13.706219,5.635098092,69585502,53004858,14973510,21.518146,16580644,76.17227221,23.82772779
1024,64,69585502,57808861,11776641,49844441,86.222839,13.777161,5.457161492,69585502,52524898,14148056,20.331902,17060604,75.48253083,24.51746917
1024,128,69585502,57495116,12090386,49566964,86.210738,13.789262,5.315701592,69585502,52282982,13491819,19.388836,17302520,75.13487795,24.86512205
1024,256,69585502,57016650,12568852,49302095,86.469645,13.530355,5.136957692,69585502,52040988,12662620,18.19721,17544514,74.78711298,25.21288702
1024,512,69585502,56269191,13316311,48578739,86.332748,13.667252,4.895009942,69585502,51322174,11540216,16.584225,18263328,73.75411907,26.24588093
1024,1024,69585502,55579744,14005758,48249458,86.811227,13.188773,4.713305492,69585502,51026365,10697283,15.372862,18559137,73.32901759,26.67098241
1024,2048,69585502,54324596,15260906,47821381,88.028968,11.971032,4.605587342,69585502,50619433,10197575,14.654741,18966069,72.74422336,27.25577664
1024,8192,69585502,52117758,17467744,47678488,91.482231,8.517769,4.579560542,69585502,50483747,10076836,14.481229,19101755,72.54923159,27.45076841
1024,32768,69585502,50854345,18731157,47635500,93.670462,6.329538,4.574083742,69585502,50440748,10051429,14.444717,19144754,72.48743855,27.51256145
2048,16,69585502,58599954,10985548,53343641,91.030176,8.969824,5.917076642,69585502,55954138,16281618,23.398003,13631364,80.41062634,19.58937366
2048,32,69585502,56869432,12716070,51497810,90.554465,9.445535,5.658752792,69585502,54098877,15083245,21.675844,15486625,77.74446608,22.25553392
2048,64,69585502,56380453,13205049,50986046,90.432133,9.567867,5.466425192,69585502,53603310,14191031,20.39366,15982192,77.03229618,22.96770382
2048,128,69585502,56254268,13331234,50774979,90.259781,9.740219,5.278566692,69585502,53456464,13319549,19.14127,16129038,76.82126659,23.17873341
2048,256,69585502,55713193,13872309,50424333,90.506988,9.493012,5.076985742,69585502,53131161,12384408,17.797397,16454341,76.35377984,23.64622016
2048,512,69585502,55078835,14506667,49703094,90.239915,9.760085,4.799936792,69585502,52406512,11099169,15.950404,17178990,75.31240056,24.68759944
2048,1024,69585502,54446346,15139156,49371886,90.679889,9.320111,4.577237042,69585502,52124181,10066057,14.465739,17461321,74.90666806,25.09333194
2048,2048,69585502,53314447,16271055,48942032,91.798818,8.201182,4.442852492,69585502,51730937,9442643,13.569842,17854565,74.34154459,25.65845541
2048,8192,69585502,51680169,17905333,48750238,94.330647,5.669353,4.323089942,69585502,51555484,8887060,12.771425,18030018,74.08940443,25.91059557
2048,32768,69585502,50426529,19158973,48707342,96.590709,3.409291,4.317132992,69585502,51512590,8859426,12.731712,18072912,74.02776228,25.97223772
8192,16,69585502,57684396,11901106,54500582,94.480632,5.519368,5.967747392,69585502,57101859,16516681,23.735808,12483643,82.05999434,17.94000566
8192,32,69585502,55885984,13699518,52529267,93.993634,6.006366,5.661952142,69585502,55111798,15098087,21.697173,14473704,79.20011556,20.79988444
8192,64,69585502,55291076,14294426,51867904,93.808816,6.191184,5.431467392,69585502,54474256,14028860,20.160608,15111246,78.2839161,21.7160839
8192,128,69585502,55199265,14386237,51739563,93.73234,6.26766,5.221523792,69585502,54407073,13054925,18.760984,15178429,78.18736868,21.81263132
8192,256,69585502,54663385,14922117,51339638,93.91961,6.08039,5.005946642,69585502,54032300,12054855,17.323803,15553202,77.64878954,22.35121046
8192,512,69585502,53907333,15678169,50610395,93.884064,6.115936,4.702100492,69585502,53295301,10645303,15.298162,16290201,76.58966231,23.41033769
8192,1024,69585502,53304284,16281218,50262345,94.293256,5.706744,4.459563092,69585502,53010578,9520164,13.681246,16574924,76.18049231,23.81950769
8192,2048,69585502,52241789,17343713,49831903,95.387053,4.612947,4.310613842,69585502,52617841,8829183,12.688251,16967661,75.61609745,24.38390255
8192,8192,69585502,51131579,18453923,49597391,96.999529,3.000471,4.111613492,69585502,52402637,7906014,11.361582,17182865,75.30683187,24.69316813
8192,32768,69585502,50102917,19482585,49570043,98.936441,1.063559,4.081971842,69585502,52375291,7768505,11.163971,17210211,75.26753346,24.73246654
32768,16,69585502,57113772,12471730,54681543,95.741432,4.258568,6.038515742,69585502,57258451,16844978,24.207597,12327051,82.28502972,17.71497028
32768,32,69585502,55286115,14299387,52682870,95.291322,4.708678,5.731158242,69585502,55252720,15419136,22.158547,14332782,79.40263189,20.59736811
32768,64,69585502,54620927,14964575,51960118,95.128591,4.871409,5.500191092,69585502,54558606,14347672,20.618766,15026896,78.40513387,21.59486613
32768,128,69585502,54612568,14972934,51927090,95.082674,4.917326,5.262883292,69585502,54591279,13246793,19.036714,14994223,78.45208762,21.54791238
32768,256,69585502,54201805,15383697,51544591,95.097554,4.902446,5.033518742,69585502,54233421,12182763,17.507617,15352081,77.9378167,22.0621833
32768,512,69585502,53284233,16301269,50852004,95.435368,4.564632,4.727574992,69585502,53532271,10763480,15.467992,16053231,76.93020739,23.06979261
32768,1024,69585502,52631229,16954273,50464693,95.883554,4.116446,4.464098942,69585502,53210826,9541206,13.711485,16374676,76.4682649,23.5317351
32768,2048,69585502,51645988,17939514,50006994,96.826483,3.173517,4.301115242,69585502,52789549,8785119,12.624927,16795953,75.86285574,24.13714426
32768,8192,69585502,50593115,18992387,49773752,98.380485,1.619515,4.097013542,69585502,52578931,7838284,11.264249,17006571,75.56018062,24.43981938
32768,32768,69585502,49806122,19779380,49778040,99.943617,0.056383,4.043165642,69585502,52583221,7588482,10.905263,17002281,75.5663457,24.4336543
